transaction_hash,label,confirmations,value,fiat_value,fee,fiat_fee,timestamp
feceb335210ee31662a8f251cfac24b605b51db3d53d10f436470e5f473a6fa3,customer_deposit,5,0.00008,,,,2023-11-28 20:09:16
ee9b33c46b5f4119c01081f6cce1afdb746b476e34ee37157fdad8cb2acb54d5,internal_move,3,-0.0000011,,0.0000011,,2023-11-28 20:09:46
1a1590090bf54f053017e3e238dc3ffdf6c4cef21439dcbe2f80438d1bcdb0c0,internal move,2,-0.0000011,,0.0000011,,2023-11-28 20:18:30
66952b2fae8b675625a79b6b90411162335cb51296f2f8e2e963e0d1bc8a8ff2,internal move,2,-0.0000011,,0.0000011,,2023-11-28 20:18:30
cb8e1ca8865f921eef861cd40ea9f29de1450fd1d922c4aa02e8acc83728dc1c,customer withdrawal,2,-0.0000667,,0.0000017,,2023-11-28 20:18:30
